DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             0.173               1.017            -0.844         4.479
RESSURF            0.178               1.015            -0.837         4.278
SOLIN            340.267             340.267             0.000         0.000
AAM            1.405e+26           1.431e+26        -2.570e+24      -999.000
CHI_200           -0.005               0.005            -0.009         0.327
CLDHGH            29.155              28.964             0.191         1.369
CLDLOW            32.489              33.201            -0.712         1.760
CLDMED            16.149              15.791             0.358         1.284
CLDTOT            50.758              51.138            -0.379         1.549
EKE_850           30.997              30.406             0.591         1.394
EP             2.883e-06           9.191e-05        -8.903e-05         0.351
FLNS              59.953              58.310             1.642         2.453
FLNSC             82.941              80.731             2.210         3.065
FLNT             231.283             234.581            -3.298         3.837
FLNTC            260.223             263.582            -3.360         3.504
FSDS             182.362             182.824            -0.462         3.310
FSDSC            243.617             245.573            -1.957         2.195
FSNS             157.506             160.034            -2.528         5.594
FSNSC            212.311             216.651            -4.340         7.905
FSNSC_ICE         52.579              54.035            -1.455         6.499
FSNSC_LAND       177.205             179.163            -1.958         2.538
FSNT             231.456             235.598            -4.142         6.215
FSNTC            282.215             288.448            -6.233         8.779
ICEAREA           25.020              21.968             3.051         0.081
LHFLX             80.197              83.627            -3.429         6.240
LWCF              28.940              29.002            -0.062         1.397
PRECT              2.747               2.868            -0.120         0.357
PRECT_LAND         2.313               2.373            -0.060         0.249
PRECT_OCEAN        3.050               3.190            -0.140         0.408
PREH2O            24.920              27.497            -2.577         3.029
PREH2O_OCEAN      29.079              31.926            -2.847         3.416
PSI_200           -0.034              -0.034            -0.000         0.172
PS               985.329             985.582            -0.253         0.565
PSL             1011.066            1011.251            -0.185         0.503
QFLX               2.747               2.868            -0.120         0.199
SHFLX             17.177              17.082             0.095         2.120
SNOWHLND          11.530              11.281             0.249         2.415
SST               20.185              21.394            -1.209         1.269
STRESS_MAG         0.067               0.067             0.000         0.005
SWCF             -50.759             -52.850             2.091         3.911
T_850            281.322             282.712            -1.390         1.413
TGCLDLWP         132.612             136.431            -3.819         9.975
TGCLDIWP          17.571              16.950             0.621         1.187
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.230             288.601            -1.371         1.424
TS               287.922             289.288            -1.366         1.439
TS_LAND          281.981             283.555            -1.573         1.606
U_200             15.402              15.688            -0.286         1.006
VT_850             0.168               0.116             0.052         0.563
Z3_500            56.613              56.948            -0.335         0.340
