DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             7.161               8.703            -1.542         6.964
RESSURF            6.546               7.777            -1.231         8.217
SOLIN            350.496             350.496             0.000         0.000
AAM            1.469e+26           1.490e+26        -2.116e+24      -999.000
CHI_200           -0.049              -0.033            -0.016         0.576
CLDHGH            28.520              28.373             0.147         2.290
CLDLOW            32.007              32.547            -0.540         2.042
CLDMED            16.318              16.066             0.251         1.766
CLDTOT            50.047              50.340            -0.293         2.303
EKE_850           28.249              27.663             0.586         1.970
EP             5.733e-03           7.440e-03        -1.707e-03         0.522
FLNS              59.374              57.805             1.569         3.019
FLNSC             82.384              80.215             2.170         3.519
FLNT             228.414             231.615            -3.202         4.394
FLNTC            256.833             260.191            -3.358         3.666
FSDS             189.732             189.984            -0.252         5.201
FSDSC            253.819             255.755            -1.936         2.587
FSNS             161.621             164.814            -3.193         7.939
FSNSC            218.904             224.318            -5.414        11.343
FSNSC_ICE         30.887              25.018             5.869         6.232
FSNSC_LAND       142.935             145.038            -2.103         3.244
FSNT             235.575             240.319            -4.744         8.411
FSNTC            288.441             295.698            -7.257        12.068
ICEAREA           23.081              20.449             2.632         0.077
LHFLX             80.708              84.378            -3.670         7.819
LWCF              28.419              28.576            -0.157         2.133
PRECT              2.756               2.883            -0.127         0.498
PRECT_LAND         2.269               2.341            -0.071         0.390
PRECT_OCEAN        3.092               3.235            -0.143         0.556
PREH2O            23.550              26.085            -2.535         3.259
PREH2O_OCEAN      28.525              31.421            -2.896         3.713
PSI_200           -0.002              -0.001            -0.001         0.200
PS               985.195             985.444            -0.249         0.724
PSL             1011.262            1011.425            -0.163         0.681
QFLX               2.762               2.891            -0.129         0.239
SHFLX             14.993              14.854             0.140         3.206
SNOWHLND          12.306              12.046             0.260         2.447
SST               20.167              21.414            -1.247         1.326
STRESS_MAG         0.072               0.070             0.002         0.008
SWCF             -52.866             -55.379             2.513         5.958
T_850            279.694             281.050            -1.356         1.419
TGCLDLWP         132.886             136.828            -3.942        12.873
TGCLDIWP          17.911              17.367             0.544         1.587
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.294             286.663            -1.368         1.469
TS               285.941             287.305            -1.363         1.496
TS_LAND          275.247             276.788            -1.540         1.683
U_200             16.121              16.302            -0.181         1.394
VT_850            -0.645              -0.678             0.033         0.768
Z3_500            56.359              56.693            -0.333         0.342
