DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            -9.527              -9.491            -0.036         3.704
RESSURF          -10.451             -10.423            -0.028         7.147
SOLIN            330.385             330.385             0.000         0.000
AAM            1.191e+26           1.231e+26        -3.979e+24      -999.000
CHI_200            0.027               0.035            -0.008         0.513
CLDHGH            30.545              30.353             0.192         1.889
CLDLOW            34.954              35.792            -0.839         2.416
CLDMED            16.189              15.739             0.450         1.829
CLDTOT            53.656              54.142            -0.485         2.319
EKE_850           28.281              27.835             0.445         1.688
EP             1.064e-02           1.115e-02        -5.133e-04         0.511
FLNS              58.746              57.018             1.728         2.753
FLNSC             82.374              80.011             2.363         3.240
FLNT             234.391             237.798            -3.407         4.336
FLNTC            264.261             267.649            -3.388         3.649
FSDS             170.337             170.777            -0.440         4.611
FSDSC            232.722             234.629            -1.907         2.344
FSNS             149.857             151.552            -1.696         4.868
FSNSC            205.847             209.075            -3.228         5.714
FSNSC_ICE         40.504              46.698            -6.194        10.277
FSNSC_LAND       212.719             214.457            -1.738         3.064
FSNT             224.863             228.307            -3.443         5.549
FSNTC            276.964             282.214            -5.251         7.040
ICEAREA           26.170              22.894             3.276         0.117
LHFLX             82.092              85.534            -3.442         7.394
LWCF              29.870              29.851             0.019         1.968
PRECT              2.805               2.925            -0.120         0.506
PRECT_LAND         2.359               2.407            -0.049         0.375
PRECT_OCEAN        3.106               3.246            -0.140         0.571
PREH2O            26.873              29.591            -2.717         3.135
PREH2O_OCEAN      29.793              32.577            -2.784         3.403
PSI_200           -0.074              -0.074            -0.001         0.254
PS               985.521             985.788            -0.267         0.759
PSL             1010.923            1011.131            -0.208         0.727
QFLX               2.816               2.936            -0.120         0.229
SHFLX             19.469              19.423             0.046         3.336
SNOWHLND          10.507              10.284             0.223         2.474
SST               19.904              21.077            -1.173         1.225
STRESS_MAG         0.077               0.077            -0.000         0.008
SWCF             -52.100             -53.908             1.807         4.491
T_850            283.220             284.658            -1.438         1.474
TGCLDLWP         138.789             142.250            -3.461        13.279
TGCLDIWP          16.706              16.081             0.625         1.564
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.220             290.599            -1.379         1.471
TS               289.916             291.285            -1.370         1.494
TS_LAND          288.651             290.330            -1.679         1.726
U_200             13.213              13.729            -0.516         1.327
VT_850             0.996               0.930             0.066         0.956
Z3_500            56.959              57.300            -0.341         0.353
