DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             1.576               2.050            -0.474         4.295
RESSURF           -1.064              -0.478            -0.586         5.706
SOLIN            338.254             338.254             0.000         0.000
AAM            1.574e+26           1.561e+26         1.280e+24      -999.000
CHI_200            0.008               0.006             0.002         0.628
CLDHGH            29.083              28.747             0.336         2.109
CLDLOW            30.844              31.516            -0.671         2.165
CLDMED            16.154              15.693             0.460         2.060
CLDTOT            49.389              49.640            -0.251         2.233
EKE_850           28.897              28.158             0.739         1.702
EP             1.825e-02           1.943e-02        -1.176e-03         0.608
FLNS              61.356              59.820             1.536         2.923
FLNSC             83.712              81.592             2.120         3.383
FLNT             230.601             234.127            -3.526         4.650
FLNTC            259.802             263.261            -3.460         3.743
FSDS             184.042             184.825            -0.784         4.740
FSDSC            241.558             243.586            -2.029         2.401
FSNS             158.464             160.845            -2.382         5.878
FSNSC            209.902             213.753            -3.851         6.892
FSNSC_ICE         37.850              40.013            -2.163         5.798
FSNSC_LAND       187.813             190.240            -2.428         3.918
FSNT             232.176             236.176            -4.000         6.402
FSNTC            279.886             285.627            -5.741         7.895
ICEAREA           24.605              21.487             3.118         0.103
LHFLX             80.194              83.540            -3.346         7.727
LWCF              29.201              29.135             0.066         2.204
PRECT              2.725               2.842            -0.116         0.593
PRECT_LAND         2.251               2.271            -0.020         0.333
PRECT_OCEAN        3.038               3.192            -0.154         0.698
PREH2O            24.558              27.102            -2.543         3.188
PREH2O_OCEAN      29.013              31.881            -2.868         3.647
PSI_200           -0.020              -0.021             0.001         0.198
PS               985.294             985.543            -0.250         0.681
PSL             1011.061            1011.246            -0.185         0.621
QFLX               2.743               2.861            -0.118         0.234
SHFLX             17.978              17.964             0.014         2.714
SNOWHLND          12.702              12.404             0.298         2.536
SST               20.202              21.435            -1.233         1.313
STRESS_MAG         0.066               0.066             0.001         0.007
SWCF             -47.710             -49.451             1.741         4.675
T_850            281.230             282.647            -1.417         1.463
TGCLDLWP         126.874             130.257            -3.382        14.431
TGCLDIWP          18.089              17.352             0.737         1.618
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.177             288.568            -1.391         1.484
TS               287.906             289.296            -1.390         1.511
TS_LAND          281.651             283.194            -1.543         1.627
U_200             16.948              16.926             0.023         1.518
VT_850             0.219               0.176             0.043         0.659
Z3_500            56.551              56.893            -0.341         0.349
