DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             1.651               2.985            -1.334         6.043
RESSURF            5.883               7.393            -1.510         5.800
SOLIN            342.177             342.177             0.000         0.000
AAM            1.391e+26           1.448e+26        -5.673e+24      -999.000
CHI_200           -0.002               0.017            -0.018         0.542
CLDHGH            28.462              28.363             0.099         1.773
CLDLOW            32.137              32.935            -0.798         2.021
CLDMED            15.940              15.671             0.269         1.349
CLDTOT            49.923              50.407            -0.485         1.989
EKE_850           27.891              27.488             0.403         1.368
EP            -3.491e-02          -3.810e-02         3.194e-03         0.401
FLNS              60.332              58.604             1.728         2.500
FLNSC             83.289              81.116             2.173         3.025
FLNT             231.661             234.719            -3.058         3.760
FLNTC            259.916             263.150            -3.234         3.401
FSDS             185.536             185.908            -0.371         3.982
FSDSC            246.620             248.587            -1.966         2.379
FSNS             160.200             163.060            -2.860         7.175
FSNSC            214.755             219.659            -4.904        10.440
FSNSC_ICE         45.284              45.193             0.092         7.052
FSNSC_LAND       164.457             166.040            -1.582         2.079
FSNT             233.312             237.704            -4.392         7.548
FSNTC            283.710             290.419            -6.710        10.957
ICEAREA           26.201              23.041             3.160         0.120
LHFLX             77.778              81.036            -3.258         6.262
LWCF              28.255              28.431            -0.175         1.749
PRECT              2.702               2.820            -0.118         0.389
PRECT_LAND         2.374               2.473            -0.099         0.334
PRECT_OCEAN        2.946               3.062            -0.116         0.423
PREH2O            24.664              27.167            -2.503         2.938
PREH2O_OCEAN      28.640              31.283            -2.643         3.232
PSI_200           -0.043              -0.043            -0.000         0.253
PS               985.304             985.550            -0.246         0.600
PSL             1011.023            1011.205            -0.182         0.567
QFLX               2.667               2.782            -0.115         0.194
SHFLX             16.207              16.026             0.181         2.367
SNOWHLND          10.613              10.400             0.214         2.453
SST               19.788              20.961            -1.173         1.223
STRESS_MAG         0.070               0.070             0.000         0.006
SWCF             -50.397             -52.715             2.318         4.821
T_850            281.124             282.475            -1.351         1.381
TGCLDLWP         131.895             136.397            -4.502        10.932
TGCLDIWP          17.592              17.012             0.580         1.421
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.181             288.525            -1.344         1.424
TS               287.875             289.215            -1.340         1.443
TS_LAND          282.222             283.758            -1.536         1.579
U_200             15.345              15.825            -0.480         1.188
VT_850             0.075               0.010             0.066         0.671
Z3_500            56.574              56.897            -0.323         0.333
