DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -25.103             -25.377             0.274         1.839
RESSURF          -10.089              -9.354            -0.734         4.415
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.246               0.003            -0.249         0.304
CLDHGH            25.300              25.087             0.214         1.243
CLDLOW            29.781              30.763            -0.981         1.838
CLDMED            15.494              15.066             0.428         0.861
CLDTOT            46.067              46.549            -0.482         1.574
EKE_850           34.010              33.673             0.337         1.189
EP            -1.010e-02          -2.726e-02         1.717e-02         0.197
FLNS              65.268              64.512             0.756         1.940
FLNSC             88.664              87.783             0.882         1.940
FLNT             228.277             231.417            -3.141         3.629
FLNTC            251.944             255.188            -3.245         3.447
FSDS             165.207             165.824            -0.617         2.547
FSDSC            216.651             218.835            -2.184         2.289
FSNS             135.945             137.227            -1.282         2.521
FSNSC            180.361             183.043            -2.682         3.464
FSNSC_ICE         44.351              47.742            -3.390         5.688
FSNSC_LAND       162.660             165.132            -2.473         3.123
FSNT             203.174             206.041            -2.867         3.492
FSNTC            243.852             248.333            -4.482         4.979
ICEAREA           12.079              11.233             0.846         0.052
LHFLX             59.014              60.266            -1.252         3.680
LWCF              23.667              23.771            -0.104         1.101
PRECT              2.020               2.085            -0.065         0.204
PRECT_LAND         1.630               1.685            -0.055         0.179
PRECT_OCEAN        2.613               2.684            -0.071         0.239
PREH2O            17.678              19.176            -1.498         1.702
PREH2O_OCEAN      23.597              25.381            -1.784         2.087
PSI_200           -6.601              -6.786             0.185         0.231
PS               976.542             977.056            -0.514         0.663
PSL             1015.540            1015.950            -0.410         0.562
QFLX               2.010               2.058            -0.048         0.119
SHFLX             21.752              21.803            -0.051         2.162
SNOWHLND           4.790               4.357             0.434         3.078
SST               17.993              18.824            -0.831         0.893
STRESS_MAG         0.049               0.049            -0.000         0.003
SWCF             -40.678             -42.293             1.615         2.684
T_850            278.138             279.385            -1.247         1.272
TGCLDLWP         123.230             127.280            -4.051         8.065
TGCLDIWP          19.697              19.180             0.516         0.916
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.505             283.768            -1.263         1.346
TS               283.050             284.309            -1.259         1.368
TS_LAND          280.031             281.542            -1.511         1.553
U_200             18.101              18.722            -0.621         1.177
VT_850             0.279               0.273             0.006         0.423
Z3_500            56.324              56.636            -0.313         0.317
