DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -103.235            -104.278             1.043         2.869
RESSURF          -75.867             -75.931             0.064         9.831
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.339               3.537            -0.198         0.487
CLDHGH            26.177              25.939             0.238         2.507
CLDLOW            26.953              27.623            -0.670         1.792
CLDMED            17.537              17.074             0.463         1.464
CLDTOT            44.720              44.740            -0.020         2.463
EKE_850           44.104              43.637             0.468         2.545
EP             1.429e-01           1.411e-01         1.844e-03         0.250
FLNS              64.949              64.874             0.075         2.356
FLNSC             88.094              88.007             0.087         2.284
FLNT             210.136             213.352            -3.216         4.167
FLNTC            232.697             236.252            -3.556         4.010
FSDS              89.670              90.919            -1.250         2.553
FSDSC            114.484             116.577            -2.093         2.347
FSNS              72.733              74.112            -1.380         2.784
FSNSC             93.823              95.918            -2.096         3.040
FSNSC_ICE          1.900               1.594             0.305         0.414
FSNSC_LAND        75.659              78.096            -2.437         3.891
FSNT             106.901             109.074            -2.173         3.131
FSNTC            127.004             130.114            -3.111         3.856
ICEAREA           14.438              13.574             0.864         0.072
LHFLX             66.119              67.993            -1.874         6.249
LWCF              22.561              22.900            -0.340         1.631
PRECT              2.070               2.140            -0.070         0.243
PRECT_LAND         1.045               1.105            -0.060         0.173
PRECT_OCEAN        3.420               3.492            -0.072         0.315
PREH2O            11.213              12.085            -0.871         1.219
PREH2O_OCEAN      17.958              19.140            -1.181         1.624
PSI_200           -8.064              -8.181             0.117         0.278
PS               976.970             977.606            -0.636         0.990
PSL             1017.343            1017.833            -0.490         0.928
QFLX               2.213               2.281            -0.068         0.199
SHFLX             17.532              17.177             0.355         4.696
SNOWHLND           6.271               5.818             0.453         3.107
SST               16.041              16.842            -0.801         0.878
STRESS_MAG         0.074               0.075            -0.001         0.010
SWCF             -20.103             -21.040             0.937         1.885
T_850            270.400             271.544            -1.144         1.275
TGCLDLWP         117.786             122.617            -4.832        10.882
TGCLDIWP          23.929              23.699             0.230         1.561
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           273.254             274.574            -1.320         1.534
TS               273.748             275.055            -1.306         1.581
TS_LAND          264.569             266.073            -1.504         1.719
U_200             25.012              25.839            -0.827         1.786
VT_850             0.420               0.404             0.015         0.802
Z3_500            54.997              55.305            -0.308         0.328
