DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            51.480              51.841            -0.361         3.918
RESSURF           53.662              54.710            -1.049         4.043
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.823              -3.657            -0.166         0.537
CLDHGH            25.114              25.120            -0.006         1.661
CLDLOW            36.446              37.728            -1.283         2.839
CLDMED            13.631              13.361             0.270         1.306
CLDTOT            51.291              52.406            -1.115         2.830
EKE_850           19.296              19.183             0.112         1.432
EP            -2.045e-01          -2.511e-01         4.654e-02         0.358
FLNS              60.970              59.443             1.527         2.845
FLNSC             85.604              83.620             1.984         2.698
FLNT             247.220             250.064            -2.843         3.857
FLNTC            272.212             275.179            -2.967         3.227
FSDS             233.000             232.344             0.656         6.018
FSDSC            317.398             319.514            -2.116         2.795
FSNS             196.234             197.021            -0.786         4.902
FSNSC            269.858             273.156            -3.297         6.368
FSNSC_ICE        115.015             126.707           -11.692        17.219
FSNSC_LAND       254.420             256.642            -2.222         3.843
FSNT             298.700             301.904            -3.204         5.711
FSNTC            365.458             371.397            -5.938         8.221
ICEAREA            9.512               8.758             0.754         0.054
LHFLX             53.958              54.815            -0.857         3.656
LWCF              24.992              25.115            -0.123         1.720
PRECT              2.089               2.172            -0.083         0.371
PRECT_LAND         2.379               2.446            -0.066         0.390
PRECT_OCEAN        1.914               2.008            -0.095         0.373
PREH2O            26.289              28.698            -2.409         2.616
PREH2O_OCEAN      30.557              33.162            -2.604         2.886
PSI_200           -4.323              -4.614             0.291         0.320
PS               975.736             976.094            -0.358         0.595
PSL             1013.413            1013.686            -0.273         0.549
QFLX               1.885               1.921            -0.037         0.115
SHFLX             27.645              28.053            -0.408         2.141
SNOWHLND           2.846               2.461             0.385         3.166
SST               19.534              20.401            -0.867         0.925
STRESS_MAG         0.049               0.048             0.001         0.004
SWCF             -66.758             -69.492             2.735         5.792
T_850            287.009             288.405            -1.396         1.443
TGCLDLWP         133.023             136.237            -3.214        12.360
TGCLDIWP          14.393              13.894             0.499         1.214
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           291.815             293.047            -1.233         1.327
TS               292.397             293.627            -1.230         1.345
TS_LAND          295.356             297.011            -1.655         1.707
U_200              9.135               9.639            -0.504         1.479
VT_850             0.110               0.115            -0.005         0.742
Z3_500            57.848              58.175            -0.327         0.335
