DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            16.828              17.423            -0.594         3.361
RESSURF           16.806              18.212            -1.406         5.115
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.898               1.402            -0.503         0.598
CLDHGH            25.201              24.500             0.701         2.070
CLDLOW            27.105              27.876            -0.771         2.008
CLDMED            15.676              14.955             0.721         1.406
CLDTOT            43.988              43.902             0.086         2.150
EKE_850           34.309              33.902             0.407         1.470
EP             1.823e-02           1.723e-02         9.980e-04         0.247
FLNS              70.196              69.996             0.201         2.572
FLNSC             93.209              92.793             0.416         2.144
FLNT             225.433             229.007            -3.574         4.432
FLNTC            248.869             252.115            -3.246         3.568
FSDS             208.012             209.439            -1.426         4.170
FSDSC            265.419             268.223            -2.804         3.082
FSNS             163.437             165.735            -2.298         4.432
FSNSC            211.997             215.567            -3.570         6.037
FSNSC_ICE         47.642              48.193            -0.551         5.380
FSNSC_LAND       190.799             194.240            -3.441         5.135
FSNT             242.261             246.430            -4.168         5.389
FSNTC            285.565             291.203            -5.638         7.328
ICEAREA           14.821              14.028             0.793         0.073
LHFLX             52.243              53.112            -0.869         4.064
LWCF              23.436              23.108             0.328         1.715
PRECT              1.750               1.785            -0.034         0.232
PRECT_LAND         1.496               1.518            -0.023         0.220
PRECT_OCEAN        2.203               2.251            -0.047         0.262
PREH2O            14.348              15.417            -1.069         1.391
PREH2O_OCEAN      19.876              21.236            -1.360         1.821
PSI_200           -7.915              -7.945             0.030         0.184
PS               976.701             977.282            -0.581         0.875
PSL             1015.676            1016.164            -0.488         0.803
QFLX               1.768               1.802            -0.033         0.126
SHFLX             24.191              24.415            -0.224         2.651
SNOWHLND           7.015               6.493             0.522         3.188
SST               15.954              16.755            -0.801         0.883
STRESS_MAG         0.045               0.045             0.000         0.004
SWCF             -43.304             -44.773             1.469         3.947
T_850            276.375             277.583            -1.208         1.272
TGCLDLWP         114.441             117.057            -2.616         9.829
TGCLDIWP          21.045              20.283             0.762         1.492
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.080             282.238            -1.158         1.265
TS               281.606             282.762            -1.156         1.293
TS_LAND          279.866             281.237            -1.371         1.474
U_200             20.698              21.264            -0.566         1.675
VT_850             0.460               0.451             0.009         0.620
Z3_500            55.925              56.234            -0.309         0.321
