DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -67.642             -68.683             1.041         1.858
RESSURF          -36.670             -36.160            -0.510         5.317
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.318              -1.198            -0.120         0.455
CLDHGH            24.724              24.786            -0.062         1.449
CLDLOW            28.547              29.729            -1.182         2.533
CLDMED            15.173              14.922             0.251         1.023
CLDTOT            44.225              45.074            -0.849         2.329
EKE_850           30.655              30.366             0.289         1.347
EP             6.968e-03          -1.277e-02         1.974e-02         0.235
FLNS              64.947              63.754             1.193         2.126
FLNSC             87.728              86.715             1.014         2.233
FLNT             229.936             232.880            -2.943         3.499
FLNTC            253.582             256.815            -3.233         3.489
FSDS             128.100             128.569            -0.469         2.496
FSDSC            166.534             168.255            -1.721         1.875
FSNS             109.718             110.387            -0.670         2.200
FSNSC            143.478             145.231            -1.753         2.083
FSNSC_ICE         10.177              10.375            -0.199         2.225
FSNSC_LAND       127.472             129.275            -1.803         2.259
FSNT             162.295             164.197            -1.903         2.712
FSNTC            194.293             197.496            -3.204         3.349
ICEAREA            9.576               8.606             0.970         0.093
LHFLX             63.942              65.373            -1.431         4.318
LWCF              23.646              23.935            -0.289         1.452
PRECT              2.171               2.246            -0.075         0.237
PRECT_LAND         1.585               1.657            -0.071         0.223
PRECT_OCEAN        2.920               2.983            -0.063         0.258
PREH2O            18.730              20.357            -1.627         1.828
PREH2O_OCEAN      25.290              27.117            -1.827         2.175
PSI_200           -6.131              -6.438             0.307         0.337
PS               976.772             977.241            -0.469         0.690
PSL             1015.769            1016.145            -0.376         0.606
QFLX               2.178               2.233            -0.055         0.138
SHFLX             17.499              17.421             0.078         2.284
SNOWHLND           3.044               2.670             0.374         3.193
SST               19.221              20.094            -0.873         0.931
STRESS_MAG         0.049               0.048             0.001         0.005
SWCF             -31.998             -33.299             1.301         2.358
T_850            278.648             279.893            -1.245         1.293
TGCLDLWP         127.566             133.148            -5.582        11.357
TGCLDIWP          19.511              18.947             0.564         1.221
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.667             285.019            -1.352         1.516
TS               284.245             285.597            -1.353         1.552
TS_LAND          279.981             281.512            -1.531         1.594
U_200             17.718              18.304            -0.586         1.409
VT_850             0.121               0.119             0.003         0.674
Z3_500            56.492              56.797            -0.305         0.317
