DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -23.997             -21.030            -2.967         7.153
RESSURF           -5.536              -3.491            -2.045         4.960
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.745               0.562             0.182         0.304
CLDHGH            25.529              25.383             0.145         1.107
CLDLOW            38.892              39.758            -0.867         1.891
CLDMED            16.038              15.572             0.466         1.076
CLDTOT            53.142              53.660            -0.518         1.524
EKE_850           44.779              43.776             1.003         1.749
EP             8.486e-02           1.097e-01        -2.482e-02         0.217
FLNS              60.764              59.164             1.600         2.265
FLNSC             89.707              87.730             1.977         2.814
FLNT             222.846             226.413            -3.567         3.789
FLNTC            247.088             250.810            -3.723         3.790
FSDS             166.871             166.355             0.516         3.617
FSDSC            223.873             225.450            -1.577         2.102
FSNS             136.772             141.933            -5.161         8.748
FSNSC            185.864             194.255            -8.391        13.133
FSNSC_ICE         60.126              61.038            -0.912         7.297
FSNSC_LAND       128.593             129.659            -1.066         1.330
FSNT             198.849             205.383            -6.534         9.281
FSNTC            243.282             253.205            -9.923        13.734
ICEAREA           12.941              10.735             2.206         0.098
LHFLX             69.023              73.923            -4.900         8.217
LWCF              24.242              24.398            -0.156         1.088
PRECT              2.249               2.393            -0.144         0.254
PRECT_LAND         1.628               1.704            -0.077         0.178
PRECT_OCEAN        2.434               2.587            -0.153         0.273
PREH2O            16.261              18.425            -2.164         2.542
PREH2O_OCEAN      18.643              20.882            -2.239         2.766
PSI_200            7.218               7.303            -0.085         0.135
PS               983.403             983.443            -0.040         0.637
PSL             1007.149            1007.115             0.033         0.596
QFLX               2.334               2.503            -0.169         0.269
SHFLX             12.520              12.336             0.184         2.307
SNOWHLND          47.026              46.923             0.103         2.075
SST               14.360              15.817            -1.457         1.503
STRESS_MAG         0.093               0.092             0.000         0.006
SWCF             -44.433             -47.822             3.389         5.200
T_850            275.437             276.999            -1.563         1.579
TGCLDLWP         139.749             144.820            -5.072        11.033
TGCLDIWP          20.865              20.083             0.782         1.422
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           280.478             282.048            -1.570         1.611
TS               281.021             282.605            -1.584         1.645
TS_LAND          265.504             267.347            -1.843         1.856
U_200             25.190              25.500            -0.311         0.822
VT_850            -0.222              -0.204            -0.017         0.727
Z3_500            55.019              55.373            -0.355         0.363
