DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            70.601              76.560            -5.959        11.079
RESSURF           79.505              84.222            -4.716         8.154
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.899              -3.055             0.156         0.511
CLDHGH            21.120              21.178            -0.058         1.411
CLDLOW            41.793              42.688            -0.895         2.288
CLDMED            13.959              13.693             0.266         1.279
CLDTOT            52.452              53.297            -0.845         2.089
EKE_850           30.308              29.625             0.682         1.617
EP            -3.313e-02          -2.508e-02        -8.054e-03         0.304
FLNS              57.114              54.904             2.210         3.164
FLNSC             86.646              83.942             2.704         3.525
FLNT             234.128             237.350            -3.221         3.752
FLNTC            256.607             260.039            -3.432         3.553
FSDS             261.150             259.354             1.796         6.650
FSDSC            352.836             354.480            -1.644         3.067
FSNS             209.262             216.341            -7.079        12.491
FSNSC            288.683             300.959           -12.276        19.369
FSNSC_ICE        118.374             121.167            -2.794        14.053
FSNSC_LAND       188.735             190.465            -1.730         2.347
FSNT             304.730             313.909            -9.180        13.186
FSNTC            375.151             389.648           -14.497        20.168
ICEAREA            8.643               6.875             1.768         0.081
LHFLX             61.729              66.218            -4.489         8.318
LWCF              22.478              22.689            -0.211         1.427
PRECT              2.145               2.294            -0.149         0.312
PRECT_LAND         2.682               2.803            -0.122         0.358
PRECT_OCEAN        2.065               2.219            -0.154         0.312
PREH2O            20.103              22.840            -2.737         3.231
PREH2O_OCEAN      21.907              24.585            -2.677         3.430
PSI_200            6.567               6.593            -0.026         0.117
PS               983.638             983.530             0.108         0.645
PSL             1006.992            1006.797             0.195         0.615
QFLX               2.112               2.269            -0.158         0.268
SHFLX             10.913              10.997            -0.084         1.700
SNOWHLND          46.992              46.884             0.108         2.153
SST               15.662              17.216            -1.554         1.615
STRESS_MAG         0.084               0.080             0.004         0.007
SWCF             -70.422             -75.739             5.317         8.872
T_850            278.659             280.247            -1.587         1.609
TGCLDLWP         143.796             148.014            -4.218        12.140
TGCLDIWP          17.149              16.340             0.809         1.568
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.221             285.735            -1.514         1.569
TS               284.705             286.252            -1.547         1.622
TS_LAND          275.094             276.954            -1.860         1.919
U_200             19.451              19.690            -0.239         0.862
VT_850            -0.092              -0.092            -0.000         0.756
Z3_500            55.745              56.095            -0.351         0.355
