DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -110.375            -110.450             0.074         3.992
RESSURF          -82.891             -83.728             0.837        10.570
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.394               4.282             0.112         0.249
CLDHGH            31.643              31.246             0.398         1.683
CLDLOW            37.272              38.023            -0.751         2.182
CLDMED            18.061              17.433             0.629         1.587
CLDTOT            56.086              56.176            -0.090         1.776
EKE_850           56.149              55.161             0.988         2.462
EP             1.447e-01           1.842e-01        -3.951e-02         0.267
FLNS              63.156              62.232             0.924         2.059
FLNSC             92.432              91.206             1.226         2.645
FLNT             212.197             216.159            -3.962         4.347
FLNTC            239.091             243.086            -3.995         4.224
FSDS              80.035              80.662            -0.627         2.200
FSDSC            106.756             108.323            -1.567         1.934
FSNS              69.598              72.687            -3.089         5.218
FSNSC             92.606              97.091            -4.485         7.321
FSNSC_ICE          2.826               2.337             0.489         0.468
FSNSC_LAND        76.254              77.173            -0.919         1.575
FSNT             101.822             105.709            -3.887         5.707
FSNTC            123.876             129.356            -5.480         7.904
ICEAREA           16.658              14.136             2.522         0.150
LHFLX             75.566              80.755            -5.190         9.797
LWCF              26.894              26.927            -0.033         1.529
PRECT              2.397               2.535            -0.138         0.286
PRECT_LAND         0.871               0.911            -0.040         0.158
PRECT_OCEAN        2.836               2.978            -0.142         0.310
PREH2O            12.903              14.511            -1.608         1.906
PREH2O_OCEAN      15.439              17.086            -1.648         2.107
PSI_200            7.213               7.438            -0.226         0.277
PS               983.400             983.578            -0.178         1.119
PSL             1007.418            1007.532            -0.114         1.091
QFLX               2.542               2.720            -0.177         0.317
SHFLX             13.767              13.428             0.339         4.969
SNOWHLND          47.047              46.944             0.103         2.074
SST               12.870              14.223            -1.353         1.394
STRESS_MAG         0.103               0.104            -0.002         0.012
SWCF             -22.054             -23.647             1.593         2.723
T_850            272.567             274.082            -1.515         1.558
TGCLDLWP         138.588             144.437            -5.849        12.458
TGCLDIWP          23.747              22.958             0.789         1.814
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           277.322             278.924            -1.602         1.722
TS               277.915             279.517            -1.602         1.779
TS_LAND          258.216             260.056            -1.841         1.888
U_200             29.923              30.359            -0.436         1.331
VT_850            -0.382              -0.345            -0.036         1.351
Z3_500            54.400              54.750            -0.351         0.376
