DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -69.569             -68.458            -1.111         5.600
RESSURF          -44.031             -43.747            -0.285         6.463
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.327              -0.766             0.440         0.541
CLDHGH            24.115              24.112             0.002         1.494
CLDLOW            38.224              39.139            -0.915         2.308
CLDMED            16.415              15.929             0.485         1.287
CLDTOT            51.565              52.274            -0.709         1.993
EKE_850           42.931              41.701             1.230         2.208
EP             1.278e-01           1.529e-01        -2.514e-02         0.302
FLNS              59.852              57.900             1.952         2.822
FLNSC             87.798              85.430             2.368         3.555
FLNT             224.009             227.820            -3.810         4.214
FLNTC            248.288             252.299            -4.010         4.144
FSDS             122.041             121.689             0.352         3.167
FSDSC            165.236             166.414            -1.178         1.618
FSNS             105.678             109.405            -3.726         7.002
FSNSC            143.571             149.612            -6.041        10.124
FSNSC_ICE         21.013              21.057            -0.044         6.665
FSNSC_LAND       102.709             103.323            -0.614         0.833
FSNT             154.440             159.361            -4.921         7.518
FSNTC            190.001             197.440            -7.438        10.785
ICEAREA            9.784               7.459             2.325         0.126
LHFLX             77.521              83.152            -5.631         9.766
LWCF              24.279              24.479            -0.200         1.556
PRECT              2.493               2.663            -0.169         0.362
PRECT_LAND         1.513               1.547            -0.034         0.227
PRECT_OCEAN        2.743               2.936            -0.193         0.393
PREH2O            17.753              20.283            -2.531         3.000
PREH2O_OCEAN      20.064              22.626            -2.562         3.255
PSI_200            7.829               7.702             0.127         0.187
PS               983.421             983.468            -0.047         0.728
PSL             1007.304            1007.279             0.024         0.660
QFLX               2.621               2.815            -0.195         0.321
SHFLX             12.337              12.099             0.238         2.907
SNOWHLND          47.007              46.891             0.116         2.352
SST               15.303              16.839            -1.536         1.592
STRESS_MAG         0.093               0.092             0.001         0.008
SWCF             -35.561             -38.079             2.518         4.136
T_850            276.351             278.037            -1.686         1.708
TGCLDLWP         143.272             148.598            -5.326        13.479
TGCLDIWP          21.139              20.273             0.866         1.631
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.265             283.013            -1.748         1.826
TS               281.864             283.627            -1.763         1.879
TS_LAND          263.132             265.170            -2.038         2.069
U_200             24.395              24.481            -0.086         1.286
VT_850            -0.161              -0.140            -0.021         0.753
Z3_500            55.203              55.588            -0.385         0.392
