DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            15.843              20.801            -4.959        10.018
RESSURF           27.474              31.588            -4.114         7.239
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.738               1.726             0.012         0.391
CLDHGH            25.161              24.902             0.259         1.690
CLDLOW            38.336              39.247            -0.910         1.876
CLDMED            15.673              15.187             0.485         1.307
CLDTOT            52.456              52.881            -0.425         1.860
EKE_850           42.966              42.253             0.712         1.719
EP             9.712e-02           1.242e-01        -2.705e-02         0.258
FLNS              62.893              61.570             1.323         2.210
FLNSC             91.917              90.304             1.612         2.411
FLNT             221.262             224.536            -3.274         3.657
FLNTC            244.545             247.981            -3.436         3.537
FSDS             206.753             206.206             0.546         5.188
FSDSC            274.024             275.949            -1.925         2.762
FSNS             164.427             171.245            -6.818        11.744
FSNSC            221.214             232.073           -10.859        17.880
FSNSC_ICE         63.060              63.161            -0.102         8.534
FSNSC_LAND       148.191             149.200            -1.008         1.628
FSNT             237.105             245.337            -8.232        12.056
FSNTC            287.429             299.815           -12.386        18.161
ICEAREA           16.625              14.435             2.190         0.132
LHFLX             61.027              65.292            -4.265         7.527
LWCF              23.283              23.445            -0.162         1.382
PRECT              1.955               2.074            -0.119         0.245
PRECT_LAND         1.466               1.576            -0.109         0.228
PRECT_OCEAN        2.087               2.203            -0.116         0.252
PREH2O            14.347              16.126            -1.779         2.130
PREH2O_OCEAN      16.624              18.434            -1.810         2.298
PSI_200            7.247               7.466            -0.219         0.254
PS               983.166             983.198            -0.032         0.703
PSL             1006.883            1006.843             0.039         0.715
QFLX               2.052               2.199            -0.146         0.240
SHFLX             13.033              12.795             0.238         2.859
SNOWHLND          47.056              46.973             0.083         1.812
SST               12.749              14.098            -1.349         1.395
STRESS_MAG         0.100               0.102            -0.002         0.007
SWCF             -50.324             -54.478             4.154         7.176
T_850            274.232             275.701            -1.469         1.491
TGCLDLWP         133.383             138.176            -4.792        11.500
TGCLDIWP          21.361              20.687             0.674         1.737
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.169             280.579            -1.410         1.459
TS               279.664             281.080            -1.417         1.489
TS_LAND          265.776             267.404            -1.628         1.648
U_200             26.885              27.376            -0.491         1.002
VT_850            -0.252              -0.242            -0.011         0.796
Z3_500            54.741              55.071            -0.330         0.346
