DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            48.468              48.331             0.137         2.443
RESSURF           15.789              15.544             0.244         3.314
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.501              -0.538             0.037         0.368
CLDHGH            36.462              36.249             0.213         1.683
CLDLOW            28.881              29.178            -0.297         1.534
CLDMED            16.897              16.712             0.184         1.736
CLDTOT            53.013              53.157            -0.144         1.548
EKE_850           15.486              15.040             0.446         1.183
EP            -7.302e-02          -8.024e-02         7.218e-03         0.529
FLNS              53.968              51.419             2.549         3.015
FLNSC             70.744              67.008             3.736         4.041
FLNT             242.460             245.649            -3.189         4.073
FLNTC            281.139             284.256            -3.118         3.261
FSDS             214.250             215.515            -1.265         3.639
FSDSC            289.239             291.346            -2.107         2.191
FSNS             198.816             199.990            -1.174         3.386
FSNSC            269.350             271.354            -2.004         2.092
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       243.258             244.827            -1.569         1.777
FSNT             290.928             293.980            -3.053         4.249
FSNTC            357.712             362.053            -4.340         4.382
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            111.802             115.921            -4.119         5.986
LWCF              38.679              38.608             0.072         1.850
PRECT              3.945               4.096            -0.151         0.522
PRECT_LAND         4.143               4.199            -0.056         0.378
PRECT_OCEAN        3.877               4.057            -0.180         0.561
PREH2O            40.450              44.486            -4.035         4.237
PREH2O_OCEAN      42.004              46.254            -4.250         4.429
PSI_200           -0.704              -0.606            -0.098         0.131
PS               995.794             995.999            -0.205         0.344
PSL             1010.524            1010.701            -0.178         0.305
QFLX               3.872               4.015            -0.143         0.181
SHFLX             17.257              17.105             0.152         1.874
SNOWHLND           0.000               0.000             0.000         0.002
SST               26.747              27.934            -1.187         1.207
STRESS_MAG         0.054               0.052             0.001         0.006
SWCF             -66.785             -68.073             1.288         3.423
T_850            289.699             291.064            -1.365         1.375
TGCLDLWP         134.806             137.175            -2.369        10.558
TGCLDIWP          12.278              11.711             0.567         1.169
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.441             299.722            -1.281         1.299
TS               299.421             300.679            -1.258         1.282
TS_LAND          297.750             299.250            -1.500         1.512
U_200              3.205               3.140             0.065         0.988
VT_850             0.424               0.265             0.159         0.500
Z3_500            58.453              58.791            -0.338         0.338
