DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            29.387              29.214             0.173         3.155
RESSURF           -2.317              -2.441             0.124         5.076
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.477              -0.507             0.030         0.660
CLDHGH            34.776              34.591             0.185         2.252
CLDLOW            31.232              31.723            -0.491         2.170
CLDMED            16.858              16.409             0.450         2.399
CLDTOT            53.594              53.850            -0.256         2.232
EKE_850           10.836              10.586             0.250         0.788
EP             8.988e-02           9.827e-02        -8.384e-03         0.759
FLNS              52.267              49.557             2.710         3.215
FLNSC             69.396              65.552             3.844         4.129
FLNT             243.537             246.953            -3.416         4.746
FLNTC            281.079             284.286            -3.208         3.423
FSDS             197.334             198.660            -1.326         4.764
FSDSC            273.053             275.088            -2.035         2.223
FSNS             182.950             184.172            -1.223         4.463
FSNSC            253.931             255.863            -1.932         2.114
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       229.283             230.643            -1.360         1.879
FSNT             272.923             276.166            -3.243         5.222
FSNTC            340.055             344.409            -4.355         4.398
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            115.947             120.206            -4.260         7.392
LWCF              37.542              37.334             0.209         2.503
PRECT              3.904               4.041            -0.138         0.735
PRECT_LAND         3.383               3.403            -0.020         0.450
PRECT_OCEAN        4.060               4.236            -0.176         0.805
PREH2O            41.090              45.192            -4.102         4.335
PREH2O_OCEAN      42.617              46.875            -4.258         4.485
PSI_200           -3.042              -2.976            -0.066         0.125
PS               997.150             997.414            -0.264         0.367
PSL             1011.913            1012.149            -0.236         0.326
QFLX               3.994               4.140            -0.146         0.211
SHFLX             17.053              16.850             0.203         2.068
SNOWHLND           0.000               0.000             0.000         0.001
SST               26.573              27.756            -1.182         1.208
STRESS_MAG         0.071               0.070             0.001         0.006
SWCF             -67.132             -68.243             1.111         4.423
T_850            289.561             290.967            -1.406         1.421
TGCLDLWP         144.616             145.987            -1.371        14.831
TGCLDIWP          12.089              11.500             0.589         1.604
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.308             299.610            -1.302         1.331
TS               299.214             300.493            -1.279         1.317
TS_LAND          297.413             299.023            -1.610         1.636
U_200              0.874               1.481            -0.607         1.156
VT_850             3.084               2.860             0.225         0.639
Z3_500            58.590              58.936            -0.346         0.347
