DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            56.168              55.902             0.265         3.579
RESSURF           23.449              23.528            -0.079         5.461
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.535              -0.604             0.069         0.727
CLDHGH            37.728              37.422             0.306         2.601
CLDLOW            27.289              27.626            -0.337         2.169
CLDMED            16.365              16.184             0.181         2.997
CLDTOT            52.539              52.672            -0.132         2.518
EKE_850           10.939              10.343             0.596         1.322
EP            -8.871e-02          -1.088e-01         2.010e-02         0.972
FLNS              54.189              51.756             2.433         3.316
FLNSC             70.445              66.901             3.544         4.120
FLNT             242.087             245.288            -3.201         5.227
FLNTC            281.725             284.856            -3.131         3.487
FSDS             221.187             222.452            -1.265         6.292
FSDSC            292.798             294.900            -2.102         2.280
FSNS             205.163             206.313            -1.150         5.913
FSNSC            272.646             274.632            -1.986         2.142
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.240             246.948            -1.708         1.933
FSNT             298.254             301.190            -2.936         6.121
FSNTC            362.133             366.318            -4.185         4.246
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.105             113.638            -3.533         8.188
LWCF              39.639              39.568             0.070         3.018
PRECT              3.904               4.049            -0.145         0.927
PRECT_LAND         4.256               4.261            -0.005         0.524
PRECT_OCEAN        3.790               3.978            -0.188         1.022
PREH2O            41.178              45.174            -3.996         4.397
PREH2O_OCEAN      42.820              47.084            -4.264         4.637
PSI_200            0.024               0.174            -0.150         0.221
PS               995.516             995.639            -0.123         0.323
PSL             1010.224            1010.317            -0.093         0.289
QFLX               3.816               3.940            -0.125         0.214
SHFLX             17.420              17.392             0.028         2.577
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.214              28.388            -1.174         1.206
STRESS_MAG         0.052               0.051             0.002         0.007
SWCF             -63.879             -65.128             1.249         5.711
T_850            290.217             291.582            -1.365         1.381
TGCLDLWP         123.002             125.235            -2.232        18.528
TGCLDIWP          12.222              11.636             0.586         1.721
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.905             300.176            -1.271         1.298
TS               299.963             301.216            -1.253         1.291
TS_LAND          298.568             300.094            -1.526         1.550
U_200              6.013               5.309             0.704         1.566
VT_850             0.347               0.214             0.133         0.597
Z3_500            58.480              58.811            -0.330         0.330
