DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable       G4SSAplusfoam     b.e11.TSREFC2.f09.g16.ccmi23.001     G4SSAplusfoam        RMSE
                                                         -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            55.471              55.584            -0.113         2.542
RESSURF           26.357              26.300             0.057         4.536
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.415              -0.466             0.051         0.718
CLDHGH            35.337              35.237             0.100         2.107
CLDLOW            29.588              29.902            -0.314         1.534
CLDMED            16.950              16.875             0.074         1.637
CLDTOT            53.014              53.201            -0.187         1.733
EKE_850           11.421              11.196             0.225         0.960
EP            -2.048e-01          -2.213e-01         1.657e-02         0.597
FLNS              53.323              50.678             2.645         3.046
FLNSC             70.527              66.674             3.854         4.058
FLNT             243.503             246.463            -2.960         4.092
FLNTC            281.117             284.154            -3.037         3.172
FSDS             220.913             222.086            -1.172         3.803
FSDSC            298.077             300.324            -2.247         2.416
FSNS             205.379             206.513            -1.133         3.550
FSNSC            278.066             280.231            -2.165         2.327
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       252.272             253.830            -1.558         1.995
FSNT             298.974             302.047            -3.073         4.374
FSNTC            367.413             372.003            -4.590         4.634
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            107.653             111.714            -4.061         6.502
LWCF              37.614              37.691            -0.077         2.261
PRECT              3.951               4.110            -0.159         0.577
PRECT_LAND         4.568               4.713            -0.145         0.526
PRECT_OCEAN        3.750               3.914            -0.164         0.593
PREH2O            40.536              44.601            -4.065         4.218
PREH2O_OCEAN      41.658              45.820            -4.161         4.311
PSI_200           -1.218              -1.131            -0.086         0.122
PS               995.726             995.962            -0.236         0.343
PSL             1010.432            1010.641            -0.209         0.304
QFLX               3.746               3.889            -0.143         0.190
SHFLX             18.046              17.821             0.225         1.862
SNOWHLND           0.000               0.000             0.000         0.002
SST               26.525              27.711            -1.186         1.204
STRESS_MAG         0.054               0.053             0.001         0.006
SWCF             -68.439             -69.956             1.517         3.595
T_850            289.774             291.115            -1.341         1.353
TGCLDLWP         134.670             137.834            -3.164         9.890
TGCLDIWP          12.037              11.531             0.505         1.250
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.439             299.712            -1.272         1.288
TS               299.441             300.694            -1.253         1.277
TS_LAND          298.543             300.022            -1.479         1.495
U_200              1.757               2.122            -0.365         1.116
VT_850             0.336               0.141             0.195         0.526
Z3_500            58.444              58.779            -0.335         0.335
